City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,guerrero negro,27.9769,-114.0611,288.54,68,0,4.17,MX,1673155806
195,east london,-33.0153,27.9116,293.67,73,0,3.09,ZA,1673155792
196,bicazu ardelean,46.85,25.9333,275.82,96,96,0.99,RO,1673155881
197,hami,42.8,93.45,273.14,34,6,0.24,CN,1673155882
198,kismayo,-0.3582,42.5454,300.6,71,64,7.05,SO,1673155883
199,pomabamba,-8.8333,-77.4667,283.13,87,94,1.58,PE,1673155884
200,mizdah,31.4451,12.9801,282.34,79,61,4.75,LY,1673155884
201,quelimane,-17.8786,36.8883,299.12,94,75,2.57,MZ,1673155885
202,jinxiang,27.4327,120.6062,289.06,55,0,1.71,CN,1673155886
203,riyadh,24.6877,46.7219,284.23,69,14,2.18,SA,1673155297
204,lovington,32.944,-103.3485,275.94,41,67,2.52,US,1673155887
205,natal,-5.795,-35.2094,298.27,83,75,3.6,BR,1673155888
206,zhigalovo,54.8097,105.1578,260.35,89,95,0.89,RU,1673155888
207,thompson,55.7435,-97.8558,255.24,85,75,1.54,CA,1673155703
208,sibu,2.3,111.8167,303.32,74,40,2.06,MY,1673155696
209,alofi,-19.0595,-169.9187,300.09,89,93,4.63,NU,1673155559
210,banbury,52.0602,-1.3403,280.34,87,100,0.45,GB,1673155891
211,luangwa,-15.6167,30.4167,295.49,96,100,0.7,ZM,1673155892
212,vilyuysk,63.7553,121.6247,247.14,98,100,1.1,RU,1673155893
213,araouane,18.9048,-3.5265,289.3,19,100,5.55,ML,1673155894
214,forest,37.3638,-79.2897,276.18,62,0,3.09,US,1673155895
215,belaya gora,68.5333,146.4167,240.53,97,100,1.53,RU,1673155896
216,sao joao da barra,-21.6403,-41.0511,293.24,95,100,4.03,BR,1673155318
217,padang,-0.9492,100.3543,301.18,67,76,2.26,ID,1673155317
218,hvolsvollur,63.7533,-20.2243,271.49,80,100,4.68,IS,1673155897
219,ahipara,-35.1667,173.1667,295.44,81,25,1.93,NZ,1673155498
220,talnakh,69.4865,88.3972,238.26,99,100,4.53,RU,1673155390
221,martapura,-3.4167,114.85,298.2,94,40,3.09,ID,1673155894
222,bacolod,10.6667,122.95,298.74,76,100,6.69,PH,1673155771
223,wau,7.7029,27.9953,295.98,27,31,3.49,SS,1673155900
224,hofn,64.2539,-15.2082,279.16,56,75,6.69,IS,1673155901
225,clyde river,70.4692,-68.5914,239.28,75,0,2.06,CA,1673155791
226,farroupilha,-29.225,-51.3478,288.29,96,4,1.45,BR,1673155902
227,lengshuitan,26.4111,111.5956,294.14,27,21,1.14,CN,1673155903
228,lompoc,34.6391,-120.4579,287.47,71,20,8.49,US,1673155610
229,marsh harbour,26.5412,-77.0636,294.33,64,0,5.69,BS,1673155904
230,manvi,15.9833,77.05,299.37,30,0,3.79,IN,1673155905
231,sayyan,15.1718,44.3244,285.57,52,0,1.86,YE,1673155906
232,purulha,15.2667,-90.2,282.68,92,45,0.76,GT,1673155906
233,oga,46.4631,10.347,271.5,95,99,3.6,IT,1673155907
